"","Var1","Var2","value"
"1","WoodDeckSF","WoodDeckSF",1
"35","WoodDeckSF","FullBath",0.19
"36","FullBath","FullBath",1
"69","WoodDeckSF","YearBuilt",0.22
"70","FullBath","YearBuilt",0.47
"71","YearBuilt","YearBuilt",1
"103","WoodDeckSF","YearRemodAdd",0.21
"104","FullBath","YearRemodAdd",0.44
"105","YearBuilt","YearRemodAdd",0.59
"106","YearRemodAdd","YearRemodAdd",1
"137","WoodDeckSF","TotalBsmtSF",0.23
"138","FullBath","TotalBsmtSF",0.32
"139","YearBuilt","TotalBsmtSF",0.39
"140","YearRemodAdd","TotalBsmtSF",0.29
"141","TotalBsmtSF","TotalBsmtSF",1
"171","WoodDeckSF","X1stFlrSF",0.24
"172","FullBath","X1stFlrSF",0.38
"173","YearBuilt","X1stFlrSF",0.28
"174","YearRemodAdd","X1stFlrSF",0.24
"175","TotalBsmtSF","X1stFlrSF",0.82
"176","X1stFlrSF","X1stFlrSF",1
"205","WoodDeckSF","GarageCars",0.23
"206","FullBath","GarageCars",0.47
"207","YearBuilt","GarageCars",0.54
"208","YearRemodAdd","GarageCars",0.42
"209","TotalBsmtSF","GarageCars",0.43
"210","X1stFlrSF","GarageCars",0.44
"211","GarageCars","GarageCars",1
"239","WoodDeckSF","GarageArea",0.22
"240","FullBath","GarageArea",0.41
"241","YearBuilt","GarageArea",0.48
"242","YearRemodAdd","GarageArea",0.37
"243","TotalBsmtSF","GarageArea",0.49
"244","X1stFlrSF","GarageArea",0.49
"245","GarageCars","GarageArea",0.88
"246","GarageArea","GarageArea",1
"273","WoodDeckSF","OverallQual",0.24
"274","FullBath","OverallQual",0.55
"275","YearBuilt","OverallQual",0.57
"276","YearRemodAdd","OverallQual",0.55
"277","TotalBsmtSF","OverallQual",0.54
"278","X1stFlrSF","OverallQual",0.48
"279","GarageCars","OverallQual",0.6
"280","GarageArea","OverallQual",0.56
"281","OverallQual","OverallQual",1
"307","WoodDeckSF","SalePrice",0.32
"308","FullBath","SalePrice",0.56
"309","YearBuilt","SalePrice",0.52
"310","YearRemodAdd","SalePrice",0.51
"311","TotalBsmtSF","SalePrice",0.61
"312","X1stFlrSF","SalePrice",0.61
"313","GarageCars","SalePrice",0.64
"314","GarageArea","SalePrice",0.62
"315","OverallQual","SalePrice",0.79
"316","SalePrice","SalePrice",1
"341","WoodDeckSF","MoSold",0.02
"342","FullBath","MoSold",0.06
"343","YearBuilt","MoSold",0.01
"344","YearRemodAdd","MoSold",0.02
"345","TotalBsmtSF","MoSold",0.01
"346","X1stFlrSF","MoSold",0.03
"347","GarageCars","MoSold",0.04
"348","GarageArea","MoSold",0.03
"349","OverallQual","MoSold",0.07
"350","SalePrice","MoSold",0.05
"351","MoSold","MoSold",1
"375","WoodDeckSF","BsmtUnfSF",-0.01
"376","FullBath","BsmtUnfSF",0.29
"377","YearBuilt","BsmtUnfSF",0.15
"378","YearRemodAdd","BsmtUnfSF",0.18
"379","TotalBsmtSF","BsmtUnfSF",0.42
"380","X1stFlrSF","BsmtUnfSF",0.32
"381","GarageCars","BsmtUnfSF",0.21
"382","GarageArea","BsmtUnfSF",0.18
"383","OverallQual","BsmtUnfSF",0.31
"384","SalePrice","BsmtUnfSF",0.21
"385","MoSold","BsmtUnfSF",0.03
"386","BsmtUnfSF","BsmtUnfSF",1
"409","WoodDeckSF","OpenPorchSF",0.06
"410","FullBath","OpenPorchSF",0.26
"411","YearBuilt","OpenPorchSF",0.19
"412","YearRemodAdd","OpenPorchSF",0.23
"413","TotalBsmtSF","OpenPorchSF",0.25
"414","X1stFlrSF","OpenPorchSF",0.21
"415","GarageCars","OpenPorchSF",0.21
"416","GarageArea","OpenPorchSF",0.24
"417","OverallQual","OpenPorchSF",0.31
"418","SalePrice","OpenPorchSF",0.32
"419","MoSold","OpenPorchSF",0.07
"420","BsmtUnfSF","OpenPorchSF",0.13
"421","OpenPorchSF","OpenPorchSF",1
"443","WoodDeckSF","PoolArea",0.07
"444","FullBath","PoolArea",0.05
"445","YearBuilt","PoolArea",0
"446","YearRemodAdd","PoolArea",0.01
"447","TotalBsmtSF","PoolArea",0.13
"448","X1stFlrSF","PoolArea",0.13
"449","GarageCars","PoolArea",0.02
"450","GarageArea","PoolArea",0.06
"451","OverallQual","PoolArea",0.07
"452","SalePrice","PoolArea",0.09
"453","MoSold","PoolArea",-0.03
"454","BsmtUnfSF","PoolArea",-0.04
"455","OpenPorchSF","PoolArea",0.06
"456","PoolArea","PoolArea",1
"477","WoodDeckSF","BsmtFinSF1",0.2
"478","FullBath","BsmtFinSF1",0.06
"479","YearBuilt","BsmtFinSF1",0.25
"480","YearRemodAdd","BsmtFinSF1",0.13
"481","TotalBsmtSF","BsmtFinSF1",0.52
"482","X1stFlrSF","BsmtFinSF1",0.45
"483","GarageCars","BsmtFinSF1",0.22
"484","GarageArea","BsmtFinSF1",0.3
"485","OverallQual","BsmtFinSF1",0.24
"486","SalePrice","BsmtFinSF1",0.39
"487","MoSold","BsmtFinSF1",-0.02
"488","BsmtUnfSF","BsmtFinSF1",-0.5
"489","OpenPorchSF","BsmtFinSF1",0.11
"490","PoolArea","BsmtFinSF1",0.14
"491","BsmtFinSF1","BsmtFinSF1",1
"511","WoodDeckSF","BsmtFullBath",0.18
"512","FullBath","BsmtFullBath",-0.06
"513","YearBuilt","BsmtFullBath",0.19
"514","YearRemodAdd","BsmtFullBath",0.12
"515","TotalBsmtSF","BsmtFullBath",0.31
"516","X1stFlrSF","BsmtFullBath",0.24
"517","GarageCars","BsmtFullBath",0.13
"518","GarageArea","BsmtFullBath",0.18
"519","OverallQual","BsmtFullBath",0.11
"520","SalePrice","BsmtFullBath",0.23
"521","MoSold","BsmtFullBath",-0.03
"522","BsmtUnfSF","BsmtFullBath",-0.42
"523","OpenPorchSF","BsmtFullBath",0.07
"524","PoolArea","BsmtFullBath",0.07
"525","BsmtFinSF1","BsmtFullBath",0.65
"526","BsmtFullBath","BsmtFullBath",1
"545","WoodDeckSF","LotArea",0.17
"546","FullBath","LotArea",0.13
"547","YearBuilt","LotArea",0.01
"548","YearRemodAdd","LotArea",0.01
"549","TotalBsmtSF","LotArea",0.26
"550","X1stFlrSF","LotArea",0.3
"551","GarageCars","LotArea",0.15
"552","GarageArea","LotArea",0.18
"553","OverallQual","LotArea",0.11
"554","SalePrice","LotArea",0.26
"555","MoSold","LotArea",0
"556","BsmtUnfSF","LotArea",0
"557","OpenPorchSF","LotArea",0.08
"558","PoolArea","LotArea",0.08
"559","BsmtFinSF1","LotArea",0.21
"560","BsmtFullBath","LotArea",0.16
"561","LotArea","LotArea",1
"579","WoodDeckSF","Fireplaces",0.2
"580","FullBath","Fireplaces",0.24
"581","YearBuilt","Fireplaces",0.15
"582","YearRemodAdd","Fireplaces",0.11
"583","TotalBsmtSF","Fireplaces",0.34
"584","X1stFlrSF","Fireplaces",0.41
"585","GarageCars","Fireplaces",0.3
"586","GarageArea","Fireplaces",0.27
"587","OverallQual","Fireplaces",0.4
"588","SalePrice","Fireplaces",0.47
"589","MoSold","Fireplaces",0.05
"590","BsmtUnfSF","Fireplaces",0.05
"591","OpenPorchSF","Fireplaces",0.17
"592","PoolArea","Fireplaces",0.1
"593","BsmtFinSF1","Fireplaces",0.26
"594","BsmtFullBath","Fireplaces",0.14
"595","LotArea","Fireplaces",0.27
"596","Fireplaces","Fireplaces",1
"613","WoodDeckSF","MiscVal",-0.01
"614","FullBath","MiscVal",-0.01
"615","YearBuilt","MiscVal",-0.03
"616","YearRemodAdd","MiscVal",-0.01
"617","TotalBsmtSF","MiscVal",-0.02
"618","X1stFlrSF","MiscVal",-0.02
"619","GarageCars","MiscVal",-0.04
"620","GarageArea","MiscVal",-0.03
"621","OverallQual","MiscVal",-0.03
"622","SalePrice","MiscVal",-0.02
"623","MoSold","MiscVal",-0.01
"624","BsmtUnfSF","MiscVal",-0.02
"625","OpenPorchSF","MiscVal",-0.02
"626","PoolArea","MiscVal",0.03
"627","BsmtFinSF1","MiscVal",0
"628","BsmtFullBath","MiscVal",-0.02
"629","LotArea","MiscVal",0.04
"630","Fireplaces","MiscVal",0
"631","MiscVal","MiscVal",1
"647","WoodDeckSF","HalfBath",0.11
"648","FullBath","HalfBath",0.14
"649","YearBuilt","HalfBath",0.24
"650","YearRemodAdd","HalfBath",0.18
"651","TotalBsmtSF","HalfBath",-0.05
"652","X1stFlrSF","HalfBath",-0.12
"653","GarageCars","HalfBath",0.22
"654","GarageArea","HalfBath",0.16
"655","OverallQual","HalfBath",0.27
"656","SalePrice","HalfBath",0.28
"657","MoSold","HalfBath",-0.01
"658","BsmtUnfSF","HalfBath",-0.04
"659","OpenPorchSF","HalfBath",0.2
"660","PoolArea","HalfBath",0.02
"661","BsmtFinSF1","HalfBath",0
"662","BsmtFullBath","HalfBath",-0.03
"663","LotArea","HalfBath",0.01
"664","Fireplaces","HalfBath",0.2
"665","MiscVal","HalfBath",0
"666","HalfBath","HalfBath",1
"681","WoodDeckSF","BedroomAbvGr",0.05
"682","FullBath","BedroomAbvGr",0.36
"683","YearBuilt","BedroomAbvGr",-0.07
"684","YearRemodAdd","BedroomAbvGr",-0.04
"685","TotalBsmtSF","BedroomAbvGr",0.05
"686","X1stFlrSF","BedroomAbvGr",0.13
"687","GarageCars","BedroomAbvGr",0.09
"688","GarageArea","BedroomAbvGr",0.07
"689","OverallQual","BedroomAbvGr",0.1
"690","SalePrice","BedroomAbvGr",0.17
"691","MoSold","BedroomAbvGr",0.05
"692","BsmtUnfSF","BedroomAbvGr",0.17
"693","OpenPorchSF","BedroomAbvGr",0.09
"694","PoolArea","BedroomAbvGr",0.07
"695","BsmtFinSF1","BedroomAbvGr",-0.11
"696","BsmtFullBath","BedroomAbvGr",-0.15
"697","LotArea","BedroomAbvGr",0.12
"698","Fireplaces","BedroomAbvGr",0.11
"699","MiscVal","BedroomAbvGr",0.01
"700","HalfBath","BedroomAbvGr",0.23
"701","BedroomAbvGr","BedroomAbvGr",1
"715","WoodDeckSF","X2ndFlrSF",0.09
"716","FullBath","X2ndFlrSF",0.42
"717","YearBuilt","X2ndFlrSF",0.01
"718","YearRemodAdd","X2ndFlrSF",0.14
"719","TotalBsmtSF","X2ndFlrSF",-0.17
"720","X1stFlrSF","X2ndFlrSF",-0.2
"721","GarageCars","X2ndFlrSF",0.18
"722","GarageArea","X2ndFlrSF",0.14
"723","OverallQual","X2ndFlrSF",0.3
"724","SalePrice","X2ndFlrSF",0.32
"725","MoSold","X2ndFlrSF",0.04
"726","BsmtUnfSF","X2ndFlrSF",0
"727","OpenPorchSF","X2ndFlrSF",0.21
"728","PoolArea","X2ndFlrSF",0.08
"729","BsmtFinSF1","X2ndFlrSF",-0.14
"730","BsmtFullBath","X2ndFlrSF",-0.17
"731","LotArea","X2ndFlrSF",0.05
"732","Fireplaces","X2ndFlrSF",0.19
"733","MiscVal","X2ndFlrSF",0.02
"734","HalfBath","X2ndFlrSF",0.61
"735","BedroomAbvGr","X2ndFlrSF",0.5
"736","X2ndFlrSF","X2ndFlrSF",1
"749","WoodDeckSF","GrLivArea",0.25
"750","FullBath","GrLivArea",0.63
"751","YearBuilt","GrLivArea",0.2
"752","YearRemodAdd","GrLivArea",0.29
"753","TotalBsmtSF","GrLivArea",0.45
"754","X1stFlrSF","GrLivArea",0.57
"755","GarageCars","GrLivArea",0.47
"756","GarageArea","GrLivArea",0.47
"757","OverallQual","GrLivArea",0.59
"758","SalePrice","GrLivArea",0.71
"759","MoSold","GrLivArea",0.05
"760","BsmtUnfSF","GrLivArea",0.24
"761","OpenPorchSF","GrLivArea",0.33
"762","PoolArea","GrLivArea",0.17
"763","BsmtFinSF1","GrLivArea",0.21
"764","BsmtFullBath","GrLivArea",0.03
"765","LotArea","GrLivArea",0.26
"766","Fireplaces","GrLivArea",0.46
"767","MiscVal","GrLivArea",0
"768","HalfBath","GrLivArea",0.42
"769","BedroomAbvGr","GrLivArea",0.52
"770","X2ndFlrSF","GrLivArea",0.69
"771","GrLivArea","GrLivArea",1
"783","WoodDeckSF","TotRmsAbvGrd",0.17
"784","FullBath","TotRmsAbvGrd",0.55
"785","YearBuilt","TotRmsAbvGrd",0.1
"786","YearRemodAdd","TotRmsAbvGrd",0.19
"787","TotalBsmtSF","TotRmsAbvGrd",0.29
"788","X1stFlrSF","TotRmsAbvGrd",0.41
"789","GarageCars","TotRmsAbvGrd",0.36
"790","GarageArea","TotRmsAbvGrd",0.34
"791","OverallQual","TotRmsAbvGrd",0.43
"792","SalePrice","TotRmsAbvGrd",0.53
"793","MoSold","TotRmsAbvGrd",0.04
"794","BsmtUnfSF","TotRmsAbvGrd",0.25
"795","OpenPorchSF","TotRmsAbvGrd",0.23
"796","PoolArea","TotRmsAbvGrd",0.08
"797","BsmtFinSF1","TotRmsAbvGrd",0.04
"798","BsmtFullBath","TotRmsAbvGrd",-0.05
"799","LotArea","TotRmsAbvGrd",0.19
"800","Fireplaces","TotRmsAbvGrd",0.33
"801","MiscVal","TotRmsAbvGrd",0.02
"802","HalfBath","TotRmsAbvGrd",0.34
"803","BedroomAbvGr","TotRmsAbvGrd",0.68
"804","X2ndFlrSF","TotRmsAbvGrd",0.62
"805","GrLivArea","TotRmsAbvGrd",0.83
"806","TotRmsAbvGrd","TotRmsAbvGrd",1
"817","WoodDeckSF","OverallCond",0
"818","FullBath","OverallCond",-0.19
"819","YearBuilt","OverallCond",-0.38
"820","YearRemodAdd","OverallCond",0.07
"821","TotalBsmtSF","OverallCond",-0.17
"822","X1stFlrSF","OverallCond",-0.14
"823","GarageCars","OverallCond",-0.19
"824","GarageArea","OverallCond",-0.15
"825","OverallQual","OverallCond",-0.09
"826","SalePrice","OverallCond",-0.08
"827","MoSold","OverallCond",0
"828","BsmtUnfSF","OverallCond",-0.14
"829","OpenPorchSF","OverallCond",-0.03
"830","PoolArea","OverallCond",0
"831","BsmtFinSF1","OverallCond",-0.05
"832","BsmtFullBath","OverallCond",-0.05
"833","LotArea","OverallCond",-0.01
"834","Fireplaces","OverallCond",-0.02
"835","MiscVal","OverallCond",0.07
"836","HalfBath","OverallCond",-0.06
"837","BedroomAbvGr","OverallCond",0.01
"838","X2ndFlrSF","OverallCond",0.03
"839","GrLivArea","OverallCond",-0.08
"840","TotRmsAbvGrd","OverallCond",-0.06
"841","OverallCond","OverallCond",1
"851","WoodDeckSF","BsmtHalfBath",0.04
"852","FullBath","BsmtHalfBath",-0.05
"853","YearBuilt","BsmtHalfBath",-0.04
"854","YearRemodAdd","BsmtHalfBath",-0.01
"855","TotalBsmtSF","BsmtHalfBath",0
"856","X1stFlrSF","BsmtHalfBath",0
